Ctyname,stname,cases2023
Autauga County,Alabama,0
Baldwin County,Alabama,5
Barbour County,Alabama,1
Bibb County,Alabama,1
Blount County,Alabama,2
Bullock County,Alabama,0
Butler County,Alabama,0
Calhoun County,Alabama,1
Chambers County,Alabama,0
Cherokee County,Alabama,0
Chilton County,Alabama,1
Choctaw County,Alabama,0
Clarke County,Alabama,0
Clay County,Alabama,0
Cleburne County,Alabama,1
Coffee County,Alabama,2
Colbert County,Alabama,0
Conecuh County,Alabama,0
Coosa County,Alabama,0
Covington County,Alabama,0
Crenshaw County,Alabama,0
Cullman County,Alabama,0
Dale County,Alabama,0
Dallas County,Alabama,0
DeKalb County,Alabama,2
Elmore County,Alabama,0
Escambia County,Alabama,0
Etowah County,Alabama,0
Fayette County,Alabama,0
Franklin County,Alabama,0
Geneva County,Alabama,0
Greene County,Alabama,0
Hale County,Alabama,0
Henry County,Alabama,1
Houston County,Alabama,0
Jackson County,Alabama,0
Jefferson County,Alabama,1
Lamar County,Alabama,0
Lauderdale County,Alabama,0
Lawrence County,Alabama,0
Lee County,Alabama,1
Limestone County,Alabama,0
Lowndes County,Alabama,0
Macon County,Alabama,0
Madison County,Alabama,1
Marengo County,Alabama,0
Marion County,Alabama,0
Marshall County,Alabama,3
Mobile County,Alabama,2
Monroe County,Alabama,0
Montgomery County,Alabama,3
Morgan County,Alabama,0
Perry County,Alabama,0
Pickens County,Alabama,0
Pike County,Alabama,0
Randolph County,Alabama,0
Russell County,Alabama,0
St. Clair County,Alabama,2
Shelby County,Alabama,2
Sumter County,Alabama,0
Talladega County,Alabama,0
Tallapoosa County,Alabama,2
Tuscaloosa County,Alabama,0
Walker County,Alabama,1
Washington County,Alabama,0
Wilcox County,Alabama,1
Winston County,Alabama,0
Aleutians East Borough,Alaska,0
Aleutians West Census Area,Alaska,0
Anchorage Municipality,Alaska,0
Bethel Census Area,Alaska,0
Bristol Bay Borough,Alaska,0
Chugach Census Area,Alaska,1
Denali Borough,Alaska,0
Dillingham Census Area,Alaska,0
Fairbanks North Star Borough,Alaska,0
Haines Borough,Alaska,0
Hoonah-Angoon Census Area,Alaska,0
Juneau City and Borough,Alaska,0
Kenai Peninsula Borough,Alaska,0
Ketchikan Gateway Borough,Alaska,0
Kodiak Island Borough,Alaska,0
Kusilvak Census Area,Alaska,0
Lake and Peninsula Borough,Alaska,0
Matanuska-Susitna Borough,Alaska,0
Nome Census Area,Alaska,0
North Slope Borough,Alaska,0
Northwest Arctic Borough,Alaska,0
Petersburg Borough,Alaska,0
Prince of Wales-Hyder Census Area,Alaska,0
Sitka City and Borough,Alaska,1
Skagway Municipality,Alaska,0
Southeast Fairbanks Census Area,Alaska,0
Valdez-Cordova Census Area,Alaska,0
Wrangell City and Borough,Alaska,0
Yakutat City and Borough,Alaska,0
Yukon-Koyukuk Census Area,Alaska,0
Apache County,Arizona,0
Cochise County,Arizona,1
Coconino County,Arizona,1
Gila County,Arizona,1
Graham County,Arizona,0
Greenlee County,Arizona,0
La Paz County,Arizona,0
Maricopa County,Arizona,0
Mohave County,Arizona,1
Navajo County,Arizona,0
Pima County,Arizona,6
Pinal County,Arizona,3
Santa Cruz County,Arizona,0
Yavapai County,Arizona,2
Yuma County,Arizona,1
Arkansas County,Arkansas,0
Ashley County,Arkansas,0
Baxter County,Arkansas,0
Benton County,Arkansas,1
Boone County,Arkansas,0
Bradley County,Arkansas,0
Calhoun County,Arkansas,0
Carroll County,Arkansas,0
Chicot County,Arkansas,0
Clark County,Arkansas,0
Clay County,Arkansas,0
Cleburne County,Arkansas,0
Cleveland County,Arkansas,0
Columbia County,Arkansas,0
Conway County,Arkansas,0
Craighead County,Arkansas,0
Crawford County,Arkansas,0
Crittenden County,Arkansas,0
Cross County,Arkansas,0
Dallas County,Arkansas,0
Desha County,Arkansas,0
Drew County,Arkansas,0
Faulkner County,Arkansas,0
Franklin County,Arkansas,0
Fulton County,Arkansas,0
Garland County,Arkansas,0
Grant County,Arkansas,0
Greene County,Arkansas,0
Hempstead County,Arkansas,0
Hot Spring County,Arkansas,0
Howard County,Arkansas,0
Independence County,Arkansas,0
Izard County,Arkansas,1
Jackson County,Arkansas,0
Jefferson County,Arkansas,0
Johnson County,Arkansas,0
Lafayette County,Arkansas,0
Lawrence County,Arkansas,0
Lee County,Arkansas,0
Lincoln County,Arkansas,0
Little River County,Arkansas,0
Logan County,Arkansas,0
Lonoke County,Arkansas,1
Madison County,Arkansas,0
Marion County,Arkansas,0
Miller County,Arkansas,0
Mississippi County,Arkansas,1
Monroe County,Arkansas,0
Montgomery County,Arkansas,0
Nevada County,Arkansas,0
Newton County,Arkansas,0
Ouachita County,Arkansas,0
Perry County,Arkansas,0
Phillips County,Arkansas,0
Pike County,Arkansas,0
Poinsett County,Arkansas,0
Polk County,Arkansas,0
Pope County,Arkansas,0
Prairie County,Arkansas,0
Pulaski County,Arkansas,1
Randolph County,Arkansas,0
St. Francis County,Arkansas,0
Saline County,Arkansas,0
Scott County,Arkansas,0
Searcy County,Arkansas,0
Sebastian County,Arkansas,0
Sevier County,Arkansas,0
Sharp County,Arkansas,0
Stone County,Arkansas,0
Union County,Arkansas,0
Van Buren County,Arkansas,0
Washington County,Arkansas,0
White County,Arkansas,0
