abbreviation ,stname,Ctyname,cases2023
AL,Alabama,Autauga County,0
AL,Alabama,Baldwin County,5
AL,Alabama,Barbour County,1
AL,Alabama,Bibb County,1
AL,Alabama,Blount County,2
AL,Alabama,Bullock County,0
AL,Alabama,Butler County,0
AL,Alabama,Calhoun County,1
AL,Alabama,Chambers County,0
AL,Alabama,Cherokee County,0
AL,Alabama,Chilton County,1
AL,Alabama,Choctaw County,0
AL,Alabama,Clarke County,0
AL,Alabama,Clay County,0
AL,Alabama,Cleburne County,1
AL,Alabama,Coffee County,2
AL,Alabama,Colbert County,0
AL,Alabama,Conecuh County,0
AL,Alabama,Coosa County,0
AL,Alabama,Covington County,0
AL,Alabama,Crenshaw County,0
AL,Alabama,Cullman County,0
AL,Alabama,Dale County,0
AL,Alabama,Dallas County,0
AL,Alabama,DeKalb County,2
AL,Alabama,Elmore County,0
AL,Alabama,Escambia County,0
AL,Alabama,Etowah County,0
AL,Alabama,Fayette County,0
AL,Alabama,Franklin County,0
AL,Alabama,Geneva County,0
AL,Alabama,Greene County,0
AL,Alabama,Hale County,0
AL,Alabama,Henry County,1
AL,Alabama,Houston County,0
AL,Alabama,Jackson County,0
AL,Alabama,Jefferson County,1
AL,Alabama,Lamar County,0
AL,Alabama,Lauderdale County,0
AL,Alabama,Lawrence County,0
AL,Alabama,Lee County,1
AL,Alabama,Limestone County,0
AL,Alabama,Lowndes County,0
AL,Alabama,Macon County,0
AL,Alabama,Madison County,1
AL,Alabama,Marengo County,0
AL,Alabama,Marion County,0
AL,Alabama,Marshall County,3
AL,Alabama,Mobile County,2
AL,Alabama,Monroe County,0
AL,Alabama,Montgomery County,3
AL,Alabama,Morgan County,0
AL,Alabama,Perry County,0
AL,Alabama,Pickens County,0
AL,Alabama,Pike County,0
AL,Alabama,Randolph County,0
AL,Alabama,Russell County,0
AL,Alabama,St. Clair County,2
AL,Alabama,Shelby County,2
AL,Alabama,Sumter County,0
AL,Alabama,Talladega County,0
AL,Alabama,Tallapoosa County,2
AL,Alabama,Tuscaloosa County,0
AL,Alabama,Walker County,1
AL,Alabama,Washington County,0
AL,Alabama,Wilcox County,1
AL,Alabama,Winston County,0
AK,Alaska,Aleutians East Borough,0
AK,Alaska,Aleutians West Census Area,0
AK,Alaska,Anchorage Municipality,0
AK,Alaska,Bethel Census Area,0
AK,Alaska,Bristol Bay Borough,0
AK,Alaska,Chugach Census Area,1
AK,Alaska,Denali Borough,0
AK,Alaska,Dillingham Census Area,0
AK,Alaska,Fairbanks North Star Borough,0
AK,Alaska,Haines Borough,0
AK,Alaska,Hoonah-Angoon Census Area,0
AK,Alaska,Juneau City and Borough,0
AK,Alaska,Kenai Peninsula Borough,0
AK,Alaska,Ketchikan Gateway Borough,0
AK,Alaska,Kodiak Island Borough,0
